019946,03001627,02738535
016298,03001627,04331277
005107,03001627,03649674
004203,03001627,04373704
038713,03001627,20000022
000711,03001627,04373704
028665,03001627,20000027
017397,03001627,04373704
006732,03001627,04373704
038617,03001627,02738535
025976,02958343,04037443
026668,02958343,02814533
028539,02958343,04097373
007067,02958343,04285965
048305,02958343,03119396
015610,02958343,03119396
012635,02958343,02958343
037692,02958343,03594945
034344,02958343,04285008
020513,02958343,02814533
006748,02691156,03595860
006169,02691156,03595860
041676,02691156,02691156
010586,02691156,02691156
028104,02691156,02691156
035345,02691156,02691156
012120,02691156,03595860
049854,02691156,03174079
001457,02691156,02691156
035893,02691156,03595860
